#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
ZG|R1401|33.5359|-116.590927|1430.9|Sage Brush Flats Array R1401|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1402|33.536114|-116.591187|1433.2|Sage Brush Flats Array R1402|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1403|33.536331|-116.591415|1434.6|Sage Brush Flats Array R1403|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1404|33.536545|-116.591667|1439.1|Sage Brush Flats Array R1404|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1405|33.536747|-116.591904|1437.5|Sage Brush Flats Array R1405|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1406|33.53698|-116.592102|1433.2|Sage Brush Flats Array R1406|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1407|33.53717|-116.592323|1434.8|Sage Brush Flats Array R1407|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1408|33.537403|-116.592598|1433.8|Sage Brush Flats Array R1408|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1409|33.537613|-116.592812|1434.5|Sage Brush Flats Array R1409|2014-05-08T00:00:00|2014-06-01T23:59:59
ZG|R1410|33.537819|-116.593048|1434.6|Sage Brush Flats Array R1410|2014-05-08T00:00:00|2014-05-31T23:59:59
ZG|R1411|33.538036|-116.593285|1434.2|Sage Brush Flats Array R1411|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1412|33.53825|-116.593491|1433.6|Sage Brush Flats Array R1412|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1413|33.538486|-116.593742|1433.9|Sage Brush Flats Array R1413|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1414|33.538719|-116.593979|1435.0|Sage Brush Flats Array R1414|2014-05-08T00:00:00|2014-06-02T23:59:59
ZG|R1415|33.538933|-116.594208|1435.9|Sage Brush Flats Array R1415|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1416|33.53915|-116.594452|1436.3|Sage Brush Flats Array R1416|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1417|33.539375|-116.594681|1438.7|Sage Brush Flats Array R1417|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1418|33.539581|-116.594917|1441.5|Sage Brush Flats Array R1418|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1419|33.539795|-116.595116|1446.9|Sage Brush Flats Array R1419|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1420|33.539982|-116.595367|1454.9|Sage Brush Flats Array R1420|2014-05-08T00:00:00|2014-05-29T23:59:59
ZG|R1501|33.535954|-116.590836|1428.6|Sage Brush Flats Array R1501|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1502|33.536175|-116.591087|1431.7|Sage Brush Flats Array R1502|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1503|33.536385|-116.591309|1432.5|Sage Brush Flats Array R1503|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1504|33.536587|-116.59156|1436.1|Sage Brush Flats Array R1504|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1505|33.536812|-116.591774|1434.2|Sage Brush Flats Array R1505|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1506|33.537041|-116.592003|1431.8|Sage Brush Flats Array R1506|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1507|33.537254|-116.592247|1433.0|Sage Brush Flats Array R1507|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1508|33.537457|-116.592499|1432.8|Sage Brush Flats Array R1508|2014-05-08T00:00:00|2014-06-01T23:59:59
ZG|R1509|33.537666|-116.592712|1433.8|Sage Brush Flats Array R1509|2014-05-08T00:00:00|2014-06-02T23:59:59
ZG|R1510|33.53788|-116.592941|1433.2|Sage Brush Flats Array R1510|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1511|33.53809|-116.593185|1433.2|Sage Brush Flats Array R1511|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1512|33.538322|-116.593391|1432.7|Sage Brush Flats Array R1512|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1513|33.538544|-116.593643|1433.3|Sage Brush Flats Array R1513|2014-05-08T00:00:00|2014-05-29T23:59:59
ZG|R1514|33.53878|-116.593872|1434.3|Sage Brush Flats Array R1514|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1515|33.538994|-116.594109|1435.2|Sage Brush Flats Array R1515|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1516|33.539211|-116.594368|1435.4|Sage Brush Flats Array R1516|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1517|33.539429|-116.594566|1437.7|Sage Brush Flats Array R1517|2014-05-08T00:00:00|2014-06-02T23:59:59
ZG|R1518|33.539627|-116.594826|1440.5|Sage Brush Flats Array R1518|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1519|33.539864|-116.595039|1445.4|Sage Brush Flats Array R1519|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1520|33.540073|-116.595245|1452.8|Sage Brush Flats Array R1520|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1601|33.535984|-116.590752|1427.9|Sage Brush Flats Array R1601|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1602|33.536228|-116.590981|1430.5|Sage Brush Flats Array R1602|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1603|33.536442|-116.591209|1430.8|Sage Brush Flats Array R1603|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1604|33.536621|-116.591431|1432.3|Sage Brush Flats Array R1604|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1605|33.536861|-116.59169|1432.6|Sage Brush Flats Array R1605|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1606|33.537045|-116.591896|1431.2|Sage Brush Flats Array R1606|2014-05-08T00:00:00|2014-06-02T23:59:59
